,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,VSPD_LIM,LGT_COND,WEATHER,VSURCOND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
22274,390781,1,1,10,0,70,2,1,1,39,1,high,1.0,
22275,390782,1,1,10,0,65,2,1,1,39,1,high,1.0,
22276,390783,1,1,10,0,35,1,1,1,39,1,high,1.0,
22277,390784,1,5,10,0,70,1,1,1,39,0,low,0.2,
22278,390785,1,8,9,1,55,1,1,1,39,0,low,0.125,
22279,390786,1,2,10,0,55,1,1,1,39,0,low,0.5,
22280,390787,1,4,10,2,55,1,10,2,39,0,low,0.25,
22281,390788,1,2,10,0,45,2,1,1,39,1,low,0.5,
22282,390789,1,1,9,0,45,2,1,1,39,0,high,1.0,
22283,390790,1,2,10,1,55,2,10,1,39,1,low,0.5,
22284,390791,1,1,10,0,35,3,1,1,39,0,high,1.0,
22285,390792,1,1,10,0,99,2,1,1,39,1,high,1.0,
22286,390793,1,1,10,0,55,1,1,1,39,0,high,1.0,
22287,390794,1,2,7,6,25,1,10,1,39,0,low,0.5,
22288,390795,1,2,8,7,65,2,1,1,39,1,low,0.5,
22289,390796,1,2,10,2,55,4,5,1,39,0,low,0.5,
22290,390797,1,3,10,6,55,1,1,1,39,0,low,0.3333333333333333,
22291,390798,1,2,8,6,99,2,1,1,39,1,low,0.5,
22292,390799,1,1,10,0,40,1,10,1,39,0,high,1.0,
22293,390800,1,1,10,0,55,1,1,1,39,0,high,1.0,
22294,390801,1,1,9,0,55,3,1,1,39,1,high,1.0,
22295,390802,1,1,9,0,55,2,1,1,39,1,high,1.0,
22296,390803,2,5,10,6,55,1,2,2,39,0,low,0.4,
22297,390804,1,3,9,1,60,1,1,1,39,0,low,0.3333333333333333,
22298,390805,1,1,10,0,55,2,1,1,39,0,high,1.0,
22299,390806,1,4,10,0,50,2,1,1,39,0,low,0.25,
